title,wiki_link,developer,publisher_na,publisher_eu,release_na,release_eu,img,genre,mode
The 3-D Battles of WorldRunner,https://en.wikipedia.org/wiki/The_3-D_Battles_of_WorldRunner,Square,Acclaim Entertainment,Unreleased,September 1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/NES3dworldrunnerbox_mod.png/220px-NES3dworldrunnerbox_mod.png,"Rail shooter, Platform",Single-player
8 Eyes,https://en.wikipedia.org/wiki/8_Eyes,Thinking Rabbit,Taxan,Unreleased,January 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/8_eyes_front.jpg/220px-8_eyes_front.jpg,Platform,Single-player  Multiplayer
10-Yard Fight,https://en.wikipedia.org/wiki/10-Yard_Fight,Irem,Nintendo,Nintendo,"October 18, 1985","December 6, 1986",https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/10YardFight_arcadeflyer.png/220px-10YardFight_arcadeflyer.png,Sports (American football),"Single-player, multiplayer"
720°,https://en.wikipedia.org/wiki/720%C2%B0,Beam Software,Mindscape,Unreleased,November 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/720-arcadegame.jpg/220px-720-arcadegame.jpg,Sports,"Up to 2 players, alternating turns"
1942,https://en.wikipedia.org/wiki/1942_(video_game),Micronics,Capcom,Unreleased,"November 1, 1986",Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/1942_arcade_flyer.png/220px-1942_arcade_flyer.png,Scrolling shooter,"Single player, 2 player co-op"
1943: The Battle of Midway,https://en.wikipedia.org/wiki/1943:_The_Battle_of_Midway,Capcom,Capcom,Unreleased,October 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/1943_The_Battle_of_Midway_flyer.png/220px-1943_The_Battle_of_Midway_flyer.png,Vertical scrolling shooter,"Single-player, 2 player Co-op"
Abadox: The Deadly Inner War,https://en.wikipedia.org/wiki/Abadox,Natsume,Milton Bradley Company,Unreleased,March 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Abadox_box_art.jpg/220px-Abadox_box_art.jpg,Shoot 'em up,Single-player
The Addams Family,https://en.wikipedia.org/wiki/The_Addams_Family_(video_game),Ocean Software,Ocean Software,Ocean Software,January 1992,December 1992,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Addams_Family_video_game_box_art.jpg/220px-Addams_Family_video_game_box_art.jpg,Platform,Single-player
The Addams Family: Pugsley's Scavenger Hunt,https://en.wikipedia.org/wiki/The_Addams_Family:_Pugsley%27s_Scavenger_Hunt,Enigma Variations,Ocean Software,Ocean Software,August 1993,1992,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Pugley%27s_Scavenger_Hunt_cover_art.png/220px-Pugley%27s_Scavenger_Hunt_cover_art.png,Platform,Single player
Advanced Dungeons & Dragons: DragonStrike,https://en.wikipedia.org/wiki/DragonStrike_(video_game),Westwood Associates,FCI,Unreleased,July 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/DragonStrike_Coverart.png/220px-DragonStrike_Coverart.png,Heroic fantasy,Single player
