title,developer,publisher_na,publisher_eu,release_na,release_eu,img,wiki_link,genre,mode
The 3-D Battles of WorldRunner,Square,Acclaim Entertainment,Unreleased,September 1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/NES3dworldrunnerbox_mod.png/220px-NES3dworldrunnerbox_mod.png,https://en.wikipedia.org/wiki/The_3-D_Battles_of_WorldRunner,"Rail shooter, Platform",Single-player
8 Eyes,Thinking Rabbit,Taxan,Unreleased,January 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/8_eyes_front.jpg/220px-8_eyes_front.jpg,https://en.wikipedia.org/wiki/8_Eyes,Platform,Single-player  Multiplayer
10-Yard Fight,Irem,Nintendo,Nintendo,"October 18, 1985","December 6, 1986",https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/10YardFight_arcadeflyer.png/220px-10YardFight_arcadeflyer.png,https://en.wikipedia.org/wiki/10-Yard_Fight,Sports (American football),"Single-player, multiplayer"
720°,Beam Software,Mindscape,Unreleased,November 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/720-arcadegame.jpg/220px-720-arcadegame.jpg,https://en.wikipedia.org/wiki/720%C2%B0,Sports,"Up to 2 players, alternating turns"
1942,Micronics,Capcom,Unreleased,"November 1, 1986",Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/1942_arcade_flyer.png/220px-1942_arcade_flyer.png,https://en.wikipedia.org/wiki/1942_(video_game),Scrolling shooter,"Single player, 2 player co-op"
1943: The Battle of Midway,Capcom,Capcom,Unreleased,October 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/1943_The_Battle_of_Midway_flyer.png/220px-1943_The_Battle_of_Midway_flyer.png,https://en.wikipedia.org/wiki/1943:_The_Battle_of_Midway,Vertical scrolling shooter,"Single-player, 2 player Co-op"
Abadox: The Deadly Inner War,Natsume,Milton Bradley Company,Unreleased,March 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Abadox_box_art.jpg/220px-Abadox_box_art.jpg,https://en.wikipedia.org/wiki/Abadox,Shoot 'em up,Single-player
The Addams Family,Ocean Software,Ocean Software,Ocean Software,January 1992,December 1992,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Addams_Family_video_game_box_art.jpg/220px-Addams_Family_video_game_box_art.jpg,https://en.wikipedia.org/wiki/The_Addams_Family_(video_game),Platform,Single-player
The Addams Family: Pugsley's Scavenger Hunt,Enigma Variations,Ocean Software,Ocean Software,August 1993,1992,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Pugley%27s_Scavenger_Hunt_cover_art.png/220px-Pugley%27s_Scavenger_Hunt_cover_art.png,https://en.wikipedia.org/wiki/The_Addams_Family:_Pugsley%27s_Scavenger_Hunt,Platform,Single player
Advanced Dungeons & Dragons: DragonStrike,Westwood Associates,FCI,Unreleased,July 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/DragonStrike_Coverart.png/220px-DragonStrike_Coverart.png,https://en.wikipedia.org/wiki/DragonStrike_(video_game),Heroic fantasy,Single player
Advanced Dungeons & Dragons: Heroes of the Lance,Natsume,FCI,Unreleased,January 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Advanced_Dungeons_%26_Dragons_Heroes_of_the_Lance_Cover.png/220px-Advanced_Dungeons_%26_Dragons_Heroes_of_the_Lance_Cover.png,https://en.wikipedia.org/wiki/Advanced_Dungeons_%26_Dragons:_Heroes_of_the_Lance,Action-adventure game,Single-player
Advanced Dungeons & Dragons: Hillsfar,Crosstalk,FCI,Unreleased,February 1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Hillsfar_Coverart.png/220px-Hillsfar_Coverart.png,https://en.wikipedia.org/wiki/Hillsfar,Role-playing video game,Single player
Advanced Dungeons & Dragons: Pool of Radiance,"Marionette, SRS",FCI,Unreleased,April 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Pool_of_Radiance_Coverart.png/220px-Pool_of_Radiance_Coverart.png,https://en.wikipedia.org/wiki/Pool_of_Radiance,"Role-playing video game, Tactical RPG",Single-player
Adventure Island (NA)Adventure Island Classic (EU)Adventure Island Classic in the Pacific (FR),Hudson Soft,Hudson Soft,Hudson Soft,September 1988,1992,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Adventureisland.jpg/220px-Adventureisland.jpg,https://en.wikipedia.org/wiki/Adventure_Island_(video_game),Platform,Single-player
Adventure Island II (NA)The Adventure Island Part II (EU),Now Production,Hudson Soft,Hudson Soft,February 1991,"July 22, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Adventure_Island_2_box_art.jpg/220px-Adventure_Island_2_box_art.jpg,https://en.wikipedia.org/wiki/Adventure_Island_II,Platform,Single-player
