title,developer,publisher_na,publisher_eu,release_na,release_eu,img,wiki_link,genre,multi-support
The 3-D Battles of WorldRunner,Square,Acclaim Entertainment,Unreleased,1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/NES3dworldrunnerbox_mod.png/220px-NES3dworldrunnerbox_mod.png,https://en.wikipedia.org/wiki/The_3-D_Battles_of_WorldRunner,"Rail shooter, Platform",False
8 Eyes,Thinking Rabbit,Taxan,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/8_eyes_front.jpg/220px-8_eyes_front.jpg,https://en.wikipedia.org/wiki/8_Eyes,Platform,True
10-Yard Fight,Irem,Nintendo,Nintendo,1985,1986,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/10YardFight_arcadeflyer.png/220px-10YardFight_arcadeflyer.png,https://en.wikipedia.org/wiki/10-Yard_Fight,Sports ,True
720°,Beam Software,Mindscape,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/720-arcadegame.jpg/220px-720-arcadegame.jpg,https://en.wikipedia.org/wiki/720%C2%B0,Sports,True
1942,Micronics,Capcom,Unreleased,1986,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/1942_arcade_flyer.png/220px-1942_arcade_flyer.png,https://en.wikipedia.org/wiki/1942_(video_game),Scrolling shooter,True
1943: The Battle of Midway,Capcom,Capcom,Unreleased,1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/1943_The_Battle_of_Midway_flyer.png/220px-1943_The_Battle_of_Midway_flyer.png,https://en.wikipedia.org/wiki/1943:_The_Battle_of_Midway,Vertical scrolling shooter,True
Abadox: The Deadly Inner War,Natsume,Milton Bradley Company,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Abadox_box_art.jpg/220px-Abadox_box_art.jpg,https://en.wikipedia.org/wiki/Abadox,Shoot 'em up,False
The Addams Family,Ocean Software,Ocean Software,Ocean Software,1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Addams_Family_video_game_box_art.jpg/220px-Addams_Family_video_game_box_art.jpg,https://en.wikipedia.org/wiki/The_Addams_Family_(video_game),Platform,False
The Addams Family: Pugsley's Scavenger Hunt,Enigma Variations,Ocean Software,Ocean Software,1993,1992,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Pugley%27s_Scavenger_Hunt_cover_art.png/220px-Pugley%27s_Scavenger_Hunt_cover_art.png,https://en.wikipedia.org/wiki/The_Addams_Family:_Pugsley%27s_Scavenger_Hunt,Platform,False
Advanced Dungeons & Dragons: DragonStrike,Westwood Associates,FCI,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/DragonStrike_Coverart.png/220px-DragonStrike_Coverart.png,https://en.wikipedia.org/wiki/DragonStrike_(video_game),Heroic fantasy,False
Advanced Dungeons & Dragons: Heroes of the Lance,Natsume,FCI,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Advanced_Dungeons_%26_Dragons_Heroes_of_the_Lance_Cover.png/220px-Advanced_Dungeons_%26_Dragons_Heroes_of_the_Lance_Cover.png,https://en.wikipedia.org/wiki/Advanced_Dungeons_%26_Dragons:_Heroes_of_the_Lance,Action-adventure game,False
Advanced Dungeons & Dragons: Hillsfar,Crosstalk,FCI,Unreleased,1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Hillsfar_Coverart.png/220px-Hillsfar_Coverart.png,https://en.wikipedia.org/wiki/Hillsfar,Role-playing video game,False
Advanced Dungeons & Dragons: Pool of Radiance,"Marionette, SRS",FCI,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Pool_of_Radiance_Coverart.png/220px-Pool_of_Radiance_Coverart.png,https://en.wikipedia.org/wiki/Pool_of_Radiance,"Role-playing video game, Tactical RPG",False
Adventure Island (NA)Adventure Island Classic (EU)Adventure Island Classic in the Pacific (FR),Hudson Soft,Hudson Soft,Hudson Soft,1988,1992,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Adventureisland.jpg/220px-Adventureisland.jpg,https://en.wikipedia.org/wiki/Adventure_Island_(video_game),Platform,False
